nom,rfc,dit,noc,cbo,folder_name
7.0000,26.0000,1.0000,0.0000,4.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
5.0000,16.0000,1.0000,0.0000,1.0000,Gadgetbridge
6.0000,15.0000,1.0000,0.0000,3.0000,Gadgetbridge
6.0000,15.0000,1.0000,1.0000,1.0000,Gadgetbridge
7.0000,7.0000,1.0000,1.0000,0.0000,Gadgetbridge
37.0000,103.0000,0.0000,0.0000,6.0000,Gadgetbridge
4.0000,11.0000,1.0000,0.0000,1.0000,Gadgetbridge
2.0000,2.0000,0.0000,3.0000,0.0000,Gadgetbridge
2.0000,2.0000,1.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,1.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,14.0000,0.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,0.0000,12.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
1.0000,3.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,4.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
9.0000,24.0000,1.0000,9.0000,6.0000,Gadgetbridge
18.0000,18.0000,1.0000,6.0000,0.0000,Gadgetbridge
23.0000,23.0000,0.0000,1.0000,0.0000,Gadgetbridge
7.0000,28.0000,0.0000,0.0000,2.0000,Gadgetbridge
29.0000,29.0000,0.0000,2.0000,0.0000,Gadgetbridge
